//@李知了:[给你小心心]//@一只浪鸭://@野生二次郎:转发微博	未
//@李知了:认真的吗	未
来看看黄土高原冬日农家小院：院外寒风凛冽，院内满园春色步入冬季的甘肃庆阳，几场大雪，气温骤降，走在乡村道路，寒风阵阵入骨，转角步入农家小院，却是另外一番景象，古朴的建筑，满院鲜花，还有黄土高原特有的传统手工香包，农闲时妇女做手工香包刺绣打发时间，尽显温馨（记者 刘玉桃）	未
来看老王跳舞	未
来看评论实力单身！男子相亲后发0.52元红包表白	未
来真的！2万元红包雨，马上来了，你不知道就亏大了！	未
来碗鸡汤: 一条蛇进入了一家木工店，它爬到角落穿过锯子，被锯伤了一点。它本能的转过身咬住锯子，又把嘴弄伤了。蛇本能的以为受伤是因受到锯子攻击，它决定缠住锯子，用整个身体使锯子窒息，于是他用了所有的力量...不幸的是，蛇最终还是被锯子锯死了！愤怒发火情绪解决不了问题，有时会把自 ...全文	未
来碰碰运气 //@台词先生: 一小时后开，还没上车的赶紧呀。	未
来碰碰运气 //@爱拆快递的安妮: 下午就开，再不上车就晚啦	未
来秀波智商，说说你认识哪些生僻字小未先来：wo	未
来科普一下，这样的骗子为何能被你们吹捧，是骗技过人吗@果壳@柴知道	未
来稿选登：穆斯林专用通道治理清真泛化	未
来稿选粹刘力争疯狂的外卖	未
来，给老年人让个位子 姑娘被大爷强制让座 称最怕听到敬老卡三个字杭州爆料 @19楼 网友发帖：昨天早上7点半坐公交上班，屁股还没坐热，下一站有个大爷上车，冲我走过来就直接要求：来，给老年人让个位子！我立马站了起来，害怕上头条...每次坐公交，最害怕听到：滴！敬老卡。想起前几天看到的一个话题：早高峰该不该禁用老年公交卡上班族有苦难言，早上早起，还要和老人一起挤车，还得让座也有人认为老人选择几点出门是自由你怎么看	未
来给这图配一句牛逼的话	未
来，老铁们：知道歼20是啥的评论打个1。觉得歼20超没逼格土爆了的评论打个2感觉碉堡了的打个3。毕竟比不上一跑车。	未
来者要惜，去者要放。人生是一场旅行，不是所有人都会去向同一个地方。	未
来而不往非礼也，well done！	未
来聊一个五毛钱，副驾驶是女友专坐吗1.副驾驶是女朋友专属，亲近的人才可以坐副驾驶。2.坐车基本礼仪是坐副驾驶，不然就是把开车的朋友当司机大家怎么看	未
来聊会天吧@莉娜丫头 的一直播（下载App-gt网页链接）	未
来聊天聊聊天@潘Vv是小怪兽_ 的一直播（下载App-gt网页链接）	未
来聊聊大冬天你们都靠什么取暖地铁君先来：靠脂肪！	未
来自@DelenLay 的投稿	未
来自@fromseul 的投稿ins：i_yoojin_you	未
来自@yao-iantog 的投稿ID：@migagao_咪嘎	未
来自@一个失去梦想的师傅玩家 的师傅沙雕表情包 守望先锋	未
来自一线交通整治直播	未
来自丝绸之路沿线国家的饺子，你吃过哪几种?擀面皮和馅料包饺子22日，来自甘肃高校和科研单位的众多中外师生，共度中国传统节日冬至。俄罗斯乌克兰哈萨克斯坦乌兹别克斯坦土库曼斯坦中国等各国的饺子纷纷展示出来，不同国家不同形状的饺子轮番上阵，期间还有包饺子吃饺子比赛，现场互动好不热闹。（记者 丁思）	未
来自中东的富豪	未
来自于微博ID的偏见还是无处不在，那我就说一下我的立场吧。无任何条件地支持中国进步，无任何理由地希望中国发展。这里的中国代表的是中国人中国文化中国历史中国智慧，这也包括我自己的每一个亲朋好友，这是我心中真正的中国。爱国和客观公正地看待一个人或一件事不矛盾，一个人或一件事也无法绑架我对国家的定义。	未
来自@以北的殊途而行 的投稿Ins:taste__t	未
来自@以北的殊途而行 的投稿ins：treasureo	未
来自伦敦的报道：一场公投，两个英国	未
来自@冰冷龙舌兰酒 的作诗投稿，彳亍起来了啊你们！	未
来自@单向街图书馆	未
来自原盐城市城乡建设局局长的一则忏悔录	未
来自双北的死亡预言	未
来自吃货的好奇！奥运健儿在国外吃什么奥运健儿们在国外吃什么吃不惯当地饭菜怎么办别担心！日前，益海嘉里旗下的金龙鱼品牌成为2020东京奥运会2022北京冬奥会2024巴黎奥运会连续三届奥运会中国体育代表团官方粮油产品赞助商，金龙鱼将以新升级的高品质米面油调味挂面 ...全文	未
来自名记大卫阿尔德里奇的报道，太阳老板罗伯特-萨瓦尔坚决拒绝将阿里扎送到湖人，因此太阳寻求了其他的选项。大周六的，还让不让人吃好饭了NBA吐槽大会	未
来自国博现场报道	未
来自国家博物馆的现场报道	未
来自外太空的声音!洞察号首次＂听＂到火星风声	未
来自大自然的鬼斧神工，被大自然拥抱着 微博视频 Down	未
来自天山脚下的上天恩赐中驼骆驼奶	未
来自@天气放送 的投稿ID：@我是李惠利	未
@来自天津的Christine：这是芳草园公交站最近新画的非机动车道	未
来自女司机的吐槽，强烈建议石柱能有女性专用停车位！你怎么看	未
来自小时候的鸡蛋仔 还能在铜陵街头找到	未
来自小林的温馨提示2018你的余额已不足10，请通过以下方式进行充值：	未
来自@小熊LB君 的投稿，投稿人的朋友被两个室友分别各送了50箱，也就是他凭空收获100箱......想问问这样的室友是从哪里领的 中国好室友 守望先锋	未
来自小舅子的横幅	未
来自“嵩山论坛”的文化声音：与世界文明对话	未
来自差点破产的日本行小日记的再次更新日本行Day 4 1.富士山是我们今天行程的关键词，但关键是...我们只看到了3分钟的富士山。（嚎啕大哭）(_)2.阴天的富士山主要收获变成了逛纪念品商店，买了一堆富士山专属的零食御守冰箱贴等看似无用却都忍不住买了的东东。3.忍野八海，传说中日本的九寨沟，虽然没去过九寨沟，但我猜测九寨沟应该会更好玩。4.忍野八海其实是看富士山的好地方，而因为阴天看不到山，我最大的收获变成了这里的豆腐很好吃，这里的葡萄非常甜，这里的泉水听说非常厉害，装满一大罐...(	未
来自年长咨询师的13条建议。	未
来自异国的味道	未
来自思念星空小程序的逝者追思 初中同学，2018年12月5日，因急性肝衰竭凌晨离世，终年26岁。她生病的消息 是我在朋友圈的水滴筹得知的，那时的她已经住进了ICU重症监护室，从没想到这么鲜活的一条生命，怎么会突然生病。虽然不知道肝衰竭会这么严重，但看到在筹款，就知道她的病一定不轻，心里也一 ...全文	未
来自思念星空小程序的逝者追思 奶奶，2018年农历十一月初一，大雪节气，肝癌去世。一个月后的十二月十五是她的生日，她没有等到八十大寿。奶奶说，算命的给她说过，熬过了八十岁还能再活十来年，这成了她心中执念。奶奶走的时候并没有太痛苦，妈妈说奶奶昏迷了半天，然后就再没有醒过来。奶奶，从我记事起她就牵着我的小手，走遍很多街道，学校，超市，市场。在我成长的道路上，奶奶陪伴我的日子有长很长。我小的时候，是怕奶奶的，因为奶奶走路快，嗓门大，我必须跟紧她的节奏，否则就要挨骂。小时候，每到奶奶批评我的时候，我就哭，再	未
来自成都的报道	未
来自我群直女的礼物	未
来自投稿1970年瑞典 一个女孩舔着冰激凌玩弄着枪口刺刀的尖端 试图引起士兵的注意	未
来自投稿德国轰炸机JU-87	未
来自新加坡恐怖传说：樟宜医院闹鬼事件！	未
来自新疆的Rapper @Rokken-t	未
来自日本的黑科技发热毛毯！以后再也不用怕冰冷的被窝了	未
来自朋友圈memes	未
来自李开复的365种工作未来消亡概率图谱 看看有没有你的行业李开复认为，电话销售员打字员财务师和会计师药剂师等工作将在未来10到15年内极可能被AI所替代，而人工智能科学家心理学家神职人员教师等职业被替代的可能性不足1。网页链接	未
来自武汉宜昌重庆南京的4瓶水，让北京22中师生吓一跳	未
来自@沮丧女孩不沮丧 的投稿ID：@黎栀梨汁怎么会有人没有发现这个plmm呢！！！！！	未
来自浙江金华的朱女士到当地的一家医疗整形机构花了5万多块钱， 而手术后的效果被朱女士认为可以用毁容来形容， 用一句时下流行的话说， 就是被自己丑哭了  每天以泪洗面	未
来自“盛京”的遗珍 讲述不为人知的清宫岁月	未
来自省内多家医院专家街头为300余名环卫工人义诊	未
来自网友@苦的甜瓜vanilla 私信投稿此人仅仅因为觉得冷就妄图否定未来大趋势，简直与一百多年前的马车夫一样鼠目寸光又不是没有军大衣卖，你要暖风做什么	未
来自美国太平洋陆军和中华人民共和国人民解放军的士兵于11月13日至18日在中国南京参加了一次灾害管理交流（DME）。这是人民解放军和美国太平洋陆军之间第十四次进行这一交流。DME是美国太平洋陆军-人民解放军（USARPAC-PLA）的一项年度减少灾害风险活动，它强调美国和中国着手应对这一地区的人道主义援助和灾害救援挑战的决心。2018DME的关注重点是：假设某一第三国发生一起破坏性地震之后的国际灾害救援情景。	未
来自苏浙皖的128家旅游部门、景区负责人，为何冒着大雾来到这里？	未
来自莆田系医院的全球首例基因编辑婴儿：健康与否难说，知情同意存疑	未
来自蔚来的官方解释：简单解释一下为何性能版比基准版同电池里程不同（410vs430，480vs510），主要是因为两方面：一方面是因为 NEDC 工况下，基本上没有双电机同时大功率驱动的场景，大部分是高效率的单电机模式，双永磁需克服反拖力矩，而 IM 感应电机无需克服，因此 PMIM 在 NEDC 工况效率略高 ...全文	未
来自@請讲Rap 的投稿ID：@万鹏er	未
来自长寿镇东益村6岁孩子的求助！	未
来自阜南网红县委书记的真情告白：不忍看到电话两头相思而泣场景，要把工厂办在家门口	未
来自@雾鸦233 的投稿，天使何苦为难天使守望先锋 V影响力峰会 游戏V势力	未
来自青青草原的西部决斗	未
来薅羊毛买个早餐叭	未
来衡山大庙拜拜，祈求全家平安健康，然后坐高铁买错票，应该买衡山西买成了衡阳东，衡阳衡山傻傻分不清，出了衡阳东傻乎乎的坐公交车坐了个把小时到衡阳，又打车个把小时才到衡山 衡阳衡山西站	未
来认识一下OMG的新人选手们吧厂长我是你的粉丝	未
来讲讲最近听说的同事同学亲戚邻居家的奇葩事	未
来评论里找老乡吧！	未
来说一下你所在城市的天气吧	未
来说一下北方和南方冬天的不同，留在评论里，可以互问问题潇生	未
来说一个不想很想回家的理由吧。	未
来说一件在你那里引起轰动而别的地方都没有听说过的吓人传闻	未
来说一说，你想过多少度的冬天	未
来说一说你的工作月薪是多少	未
来说说你们的大学宿舍群名叫什么	未
来说说你们那多少度	未
来说说你们那边把这个叫什么，我们叫它钱葱。	未
来说说你们那边把这个叫什么，评论找老乡	未
来说说你们那边把这个叫什么，评论找老乡 （成都美食）	未
来说说你们都囤了多少肉过冬	未
来，说说你发布的第一个快手视频现在有多少播放量。深夜扎心	未
来说说你和小姐妹/兄弟的群名叫什么	未
来说说你家cp镇圈的那句话吧	未
来说说，你最落魄的时候是什么样的 ?碟子有话说	未
来说说你的快递收件名是什么	未
来，说说你的经历有网友留言：前段时间我乘机到杭州入境，下飞机后短短时间内经历了三次安检/行李过机：机场海关国内航站楼防爆检查 (进国内到达才能坐大巴)机场大巴乘车安检。然后下机场大巴换地铁，又经历了一次安检。	未
来说说你篮球赛中最光辉的时刻吧！ NBA吐槽大会	未
来说说你追星的道路上做过哪些事[小仙女]	未
来说说离你最近的地铁站叫啥，说不定还能在评论偶遇	未
来，说说，这到底该咋停	未
来说说重庆事儿	未
来谈谈你们追星女孩的收件人姓名吧	未
来，跟我一起唱，预备起：我的恶，赤裸裸我的恶啊赤裸裸	未
来跟我一起玩儿	未
来路有多不简单，看完这个贴，自然心中有数	未
来辛苦大家	未
来辽@甜不起来蕉的电脑死亡中	未
来，这条转发评论空一下	未
来都来了。 美国	未
来都来了还有硬看下去或者弃文我都能理解，万万没想到的是现在已经进化到了自己洗脑自己我站的cp一定是对的这程度了	未
来重庆事儿	未
来重庆打卡吧重庆生活	未
来长见女网友陷传销，被困198小时爬燃气管道	未
来，问个问题，你们在说车灯和红绿灯的时候，加儿化音吗	未
来问关于狗狗的髋关节问题和CHD	未
来问问你们双12要入啥想瞧瞧你们的够物车	未
来队内聚餐的马尔科姆。	未
来韩国游玩，如何避免拥挤?今天就为大家介绍下quot忠清北道清州国际机场quot，这个机场连接咱们天朝多个城市，直接飞往清州开启自己的浪漫之旅，完美避开拥堵的仁川机场，而且从清州国际机场去韩国其他城市也很方便，乘坐巴士就能到达，特别适合来韩自由行的小伙伴哦，详细戳网页链接	未
来韩国玩，这些烤肉店都没去过，就别说自己爱吃肉哦！（上篇）	未
来领无料的，请答应我！不要二次贩卖，好吗//@金鱼骨_:这个代领，魏无羡给全文订阅记录的截图然后报下微博id，龙哥的超话等级截图报下微博id，1551突然怕会领不完，你们一定要来找我玩啊两天下午都有的	未
来领红包了，今天又好多人领到了十几块的！领起来，用起来咯。	未
来领红包了，领了用掉它，明天又可以继续领！来吧。	未
来领钱了！三门峡这些居民可申办	未
来鸭，手动@ 你身边总说自己吃不饱的人。	未
来鸭试试手气，中留评V影响力峰会 的红包	未
杨世缅烈士家属是否去过麻栗坡陵园，当地乡政府民政部门和村委会都有记录，已经有人在查证了，很快就会出结果，坐等便是。假的真不了，放心。	未
杨丞琳为李荣浩演唱会打call 粉丝：想看丞琳被亲	未
杨丞琳自曝无修图素颜照 此前大病5天要打点滴	未
杨丽萍3500万豪宅被查封，网友直呼大快人心，鲁豫成最大功臣	未
杨丽萍素颜吓坏网友，她是最大的照骗，这才是60岁老人该有的样子	未
杨丽萍背影这背影真是绝啦，背后她的付出一定不少听说她一顿就吃几片东西，所以一般人也别羡慕了	未
杨九郎今天哥哥被隔壁站台飞驰而过的高铁吓到了吗吓到了181123北京-邯郸到达	未
杨亚林慰问因公牺牲的扶贫工作队员王秋婷家属	未
杨伟东倒了 阿里反腐记：7年“下课”6位高管	未
杨伟东往事在别人贪婪时我恐惧，在别人恐惧时我贪婪。杨伟东原本是要借这句话表达寒冬之下的冷静，正是好内容回归的前提，但没想到三个月后，这句话有了更意味深长的解读。12月4日，刚刚卸任阿里大文娱轮值总裁的杨伟东，突然传出消息，根据举报，因经济问题，原优酷总裁杨伟东正在配合警方调 ...全文	未
杨伟东悄然落下	未
杨伟东涉经济问题被调查，优酷网综布局恐受影响	未
杨伟东涉经济问题配合警方调查 樊路远兼任优酷总裁 12月4日上午消息，据悉，阿里影业董事长樊路远将兼任优酷总裁根据举报，原总裁@杨伟东 因经济问题，正在配合警方调查。阿里有史以来，对这类事情一直都是态度鲜明，决不妥协。杨伟东涉经济问题配合警方调查 樊路远兼任优酷总裁	未
杨伟东涉经济问题配合警方调查 樊路远兼任优酷总裁新浪科技讯 12月4日上午消息，据悉，阿里影业董事长樊路远将兼任优酷总裁根据举报，原总裁杨伟东因经济问题，正在配合警方调查阿里有史以来，对这类事情一直都是态度鲜明，决不妥协优酷官方对新浪科技表示，一切信息以警方披露为准11月2 ...全文	未
杨伟东涉经济问题配合警方调查，樊路远将任优酷总裁12月4日上午消息，据悉，阿里影业董事长樊路远将兼任优酷总裁根据举报，原总裁杨伟东因经济问题，正在配合警方调查。据新浪科技，优酷表示，一切信息以警方披露为准。网页链接	未
杨伟东涉经济问题配合警方调查 麦特文化回应杨伟东为其联合创始人传闻：不实信息麦特文化表示，杨伟东并非联合创始人，麦特文化创立于2008年8月11日，而杨伟东正式入职时间为2012年6月1日杨伟东离职后，还先后在土豆网优酷网内部封杀与麦特文化营销影视项目的任何推广麦特文化回应杨伟东为其联合创始人传闻：不实信息	未
杨伟东落马，阿里反腐背后的暗战与故事	未
杨伟东被查：曾自曝属于“工作狂”，优酷原班人马时代落幕	未
杨伟东被警方调查后阿里发声：对大文娱投入不变，将全面整顿优酷12月6日，阿里巴巴合伙人阿里大文娱轮值总裁优酷总裁樊路远以投入不变决心不变信心不变耐心不变为题，给优酷发送了内部信。这也是优酷原总裁杨伟东被警方调查后，阿里大文娱首次对外发声。杨伟东被警方调查后阿里发声：对大文娱投入不变，将全面整顿优酷	未
杨伟东被警方调查后阿里发声：对大文娱投入不变，将全面整顿优酷12月6日，阿里巴巴合伙人阿里大文娱轮值总裁优酷总裁樊路远以投入不变决心不变信心不变耐心不变为题，给优酷发送了内部信这也是优酷原总裁杨伟东被警方调查后，阿里大文娱首次对外发声杨伟东被警方调查后阿里发声：对大文娱投入不变，将全面整顿优酷	未
杨伟民：严监管对民营企业带来伤害杨伟民表示，去杠杆是非常正确的。但是有些政策，特别是在现有的体制改革没到位的情况下，严监管对民营企业带来的伤害比较大。在他看来，近些年民营企业融资主要靠表外业务，靠委托代表，信托投资，小贷公司，严监管管的就是表外业务，等于是把过去民营企业正常的融资渠道给切断，对民营企业的伤害比较大。现在正在做一些调整和改变。杨伟民：去杠杆非常正确 严监管对民营企业带来伤害	未
杨伟民：房地产调控政策没有变化	未
杨伟民:未进入高收入国家前 提前开始了制造业空心化近日，中财办前主任杨伟民，在中国工业经济学会2018年年会上的发言指出：我们在未进入高收入国家之前，提前开始了制造业空心化，资金进一步脱实向虚，辛辛苦苦干一辈子的制造企业，不如在北上广深买一套小房子杨伟民:未进入高收入国家前 提前开始了制造业空心化	未
杨俊杰	未
杨先生:您的house被您弄丢了通化门站等您来西安失物招领 12月15日下午，西安地铁通化门站工作人员在列车车厢捡到购房合同一份，车控室接报后迅速带至车控室妥善保管。粗心的失主杨x耀先生，您的house被您弄丢了，通化门站等您领取联系电话02989096855 @西安地铁运营分公司	未
杨光照：被司法部聘为全国人民调解专家这样的专家，全国只有10人	未
杨八里：公交车遭猥亵被救，女孩机智司机勇敢(同步自@新浪看点)杨八里：公交车遭猥亵被救，女孩机智司机勇敢	未
杨八里：大学生捅死陪读母亲！精神问题不是弑母理由(同步自@新浪看点)杨八里：大学生捅死陪读母亲！精神问题不是弑母理由	未
杨八里：霸座被拘留，决不能让破窗效应蔓延(同步自@新浪看点)杨八里：霸座被拘留，决不能让破窗效应蔓延	未
杨军到南关街道观园社区调研文明创建	未
杨凯生：租赁业应坚持专业化 否则不良将继续增加	未
杨凯生：解决融资难的关键在于建立健全企业资本补充机制	未
杨凯生谈融资租赁业：合规是底线，回归本源与专业化是方向	未
杨利伟费俊龙聂海胜他们都毕业于这所军校 曾有人说，如果想知道一个国家军队未来是什么样子，到军事院校看看，便能得到答案对于中国军校而言，它不仅蕴含着中国军队的今天与明天，更孕育着中国军队的未来与希望（邹维荣 韩阜业 谭安） 杨利伟费俊龙聂海胜他们都毕业于这所军校	未
杨千嬅新歌唱父母应付子女考试压力：幸好没到我	未
杨启明到辖区调研乡村发展	未
杨启明到辖区重点企业及项目调研	未
杨和望远望洪李俊40岁以上的，再忙也看看吧	未
杨国庆：电商扶贫很“烧脑”	未
杨国强内部讲话传递了什么信号？	未
杨国英：世事苍茫，枫叶一舟！	未
杨国荣：我与诺齐克、普特南、罗蒂、刘述先等学者的交往	未
杨坤被拍到夜会两美女 工作人员：不清楚	未
杨坤被拍夜会两女 工作人员：与工作无关不清楚近日，有媒体拍到歌手杨坤手牵手带两位女子与功夫男星释彦一起相聚吃饭最后，众人分别时，豹纹女子上了杨坤的车对此，有媒体求证杨坤工作人员，对方首先表示并未看见视频，待记者描述后，他回应称：我不清楚，这与工作无关 ...全文	未
杨夕李渔在一起吧人不彪悍枉少年李渔的小算盘只为杨夕打得哐哐响，18年来从未变过。你说长大后要嫁给打篮球的人，李渔就为你改变。因为比起足球，他更喜欢你呀@张耀Gala @万鹏er	未
杨威妻子杨云晒双胞胎女儿萌照 调侃：我们不一样	未
杨宁：田径要坚持反兴奋剂高压态势	未
杨宇军就美舰进入中国南沙群岛有关岛礁近岸水域发表谈话	未
杨安兴到我县调研今日你会看到5条佤山快讯	未
杨宝龙督导检查旅游名镇整改工作	未
杨岭一施工现场塌方一人被埋，应城消防上演生死大营救	未
杨岳任江苏省委常委(图/简历)	未
//@杨川:ofo像是整个互联网创业故事集合的压缩版，金钱人性欲望彼此缠绕勾连着这场游戏中的每一个玩家。创业者投资人竞争对手普通用户，相互倾倒鲜血	未
杨幂LD那事 别去凑热闹给热度那些yxh没一个揣着善意的今天拉你姐的事情出来说LD双标的 当初也是踩得最狠的一群人，所以上了广场也不要搭理你姐的事就是一杆枪，用来吸流量和对LD落井下石的。不要去做yxh吸流量的枪。	未
杨幂 今天南京活动现场注意安全早上看了下发来的环境图在商场里，而且说是流量比较大的商场希望们能保持秩序，不要因为她出现一激动就往前挤以免造成不必要的危险另外，路人没法规劝，所以建议大家早点过去占位，然后自发维持下现场秩序，谢谢	未
杨幂刘恺威去年合赚2.75亿 女方名下9家公司	未
杨幂刘恺威多年离婚传闻今日终于有了结果，官方发声双方已经协议离婚。好聚好散是能够给彼此最好的方式，祝福他们。	未
杨幂刘恺威婚姻解体 去年夫妻俩合赚2.75亿	未
杨幂刘恺威官宣离婚：于今年签署协议，和平分手	未
杨幂刘恺威宣布离婚，这个意想不到的人上了热搜...	未
杨幂刘恺威离婚！两人将以亲人身份共同抚养孩子	未
杨幂刘恺威离婚！将以亲人身份共同抚养孩子	未
杨幂刘恺威离婚最新：杨幂刘恺威正式离婚 22日，@嘉行传媒 发声明宣布杨幂刘恺威于今年签署协议，和平分手，离婚是双方彼此尊重沟通后做出的选择，未来将以亲人的身份共同照顾抚养孩子，以朋友身份真诚地祝福彼此的未来。杨幂与刘恺威2012年1月公布恋情，2014年1月在巴厘岛举办婚礼，同年6月生下小糯米。	未
杨幂去农村扶贫，衣着朴素还和村民一起吃辣条	未
杨幂含泪说出，义无反顾嫁大12岁刘恺威的实情，网友：相信你才怪	未
杨幂坦言不会眷恋过去：以前的好坏和我没关系	未
杨幂太忙刘恺威当爸又当妈？接小糯米放学显父爱	未
杨幂官宣离婚 一个最意想不到的人上了热搜	未
杨幂新剧发际线高出天际，哪位女星的发髻线最逆天	未
杨幂昔日评价对刘恺威初印象：老好人，挺无聊的	未
杨幂昔日谈爱情观：家庭不应该成为束缚 要做自己	未
杨幂杨幂不止于她 对于人设，对于标签，她一直有自己的看法，活得通透，明白自己要什么她是最好的她@杨幂	未
杨幂瘦出新高度变纸片人 公公刘丹：她吃得很少	未
杨幂穿这么少这次杨幂的造型怎么样	未
杨幂终于不穿“少女装”，换上淑女装的她，简直嫩呆了！	未
杨幂自曝小糯米近况 直言或将陪家人一同庆元旦	未
杨度与梁启超为何绝交	未
//@杨建国://@北京实事记录://@拍大哥:近年来，许家印捐赠10多亿元为家乡建设的4所学校1所医院及1个农业基地。沿路考察过后，许家印决定再捐赠6.5亿，进一步支持家乡发展。	未
//@杨建国:转发微博	未
杨建文任河北省保定市委常委、市纪委书记(简历)	未
杨建武调研永昌县环保问题整改大棚房整治和危旧房改造等工作	未
杨建武调研永昌县非公企业	未
杨开慧纪念馆你去过吗	未
杨志斌同志任陕西省委常委	未
杨忠任南京大学党委常务副书记 刘鸿健任纪委书记	未
杨惠妍任碧桂园联席主席：负责新业务及战略，不涉权力交接	未
杨惠妍调任碧桂园联席主席12月7日，碧桂园发布公告称，杨惠妍已由该公司副主席调任为联席主席，杨国强将继续担任领导董事会监督董事会运作的负责人公告称，杨惠妍将负责协助杨国强处理集团日常工作，并负责集团的战略投资及基于现有业务的新业务探索，例如新零售业务公告显示，杨惠妍于200 ...全文	未
杨惠妍调任碧桂园联席主席 将负责集团战略投资及新业务	未
杨成林到西部乡镇调研	未
杨成熙：构建新时代的军事法制体系将有五部法规出台	未
杨振亚同志逝世(图)	未
杨振宁丘成桐争议中的千亿元的中国大型对撞机要来了！将于2022年开工！	未
杨振宁弟子华裔斯坦福终身教授丹势资本首席科学家张首晟去世 时间也是12月1日，和华为cfo孟晚舟被捕 同一天校方丹势均已确认有传言与抑郁有关，搞过区块链 ，也有人说投资数字币亏大了张发现了引力波，是诺贝尔奖 物理学奖的大热门逝者安息	未
杨振宁弟子张首晟因抑郁症去世，曾被视为下一位华人诺贝尔奖得主	未
杨振宁弟子张首晟意外离世，这位币圈投资人终未赢得诺奖时间	未
杨振宁弟子、量子学顶级学家张首晟离世，32岁已是斯坦福终身教授	未
杨振宁教授如是说。	未
杨振宁首度发声忆爱徒张首晟	未
杨斌副市长部署空气重污染应对工作	未
杨斌副市长部署空气重污染应对工作按照生态环境部联防联控统一要求，市空气重污染应急指挥部办公室于2018年11月30日上午发布了空气重污染黄色预警，预警措施将于2018年12月1日0时实施  杨斌副市长部署空气重污染应对工作	未
杨斌副市长部署空气重污染应对工作按照生态环境部联防联控统一部署，市空气重污染应急指挥部于11月23日上午发布了空气重污染黄色预警，预警措施于11月24日12时至26日24时实施 为做好预警应对工作，杨斌副市长于23日组织召开了全市空气重污染预警视频调度会，对空气重污染应对工作进行部署会议由市政府 ...全文	未
杨施主，你先用内力护着心脉，然后再吃//@远离中医药: 夺命钩吻，中草药大省每年都有不少中毒甚至死亡的......每每出现这类悲剧，还非要采访个巫医师指导如何安全作死....	未
杨春庭任百色市委副书记(图/简历)	未
杨晋柏任广西壮族自治区副主席	未
杨晋柏任广西壮族自治区副主席(图/简历)	未
杨晋柏任广西壮族自治区政府副主席（图/简历）(图)	未
杨晋柏任广西自治区副主席 成全国最年轻省部级官员	未
杨晓渡任国家预防腐败局局长 刘鲤生任国家档案局副局长	未
杨柳青司法所开展扫黑除恶宣传活动西青在行动连日来，该所深入社区，通过悬挂横幅发放宣传资料等方式对扫黑除恶专项斗争进行广泛宣传。活动中，工作人员向群众讲解扫黑除恶的重大意义，并公布举报电话，鼓励市民积极参与。	未
杨柳青镇开展安全隐患大排查大整治专项行动西青在行动连日来，该镇对辖区仓储物流场所开展了安全隐患排查整治专项行动。11月以来共排查47家仓储物流企业及公共场所，发现安全管理制度不健全消防灭火器过期消防通道阻塞车间卫生较差叉车无证操作且未年检装卸货物员工未佩戴防火帽电线私搭乱接等多种安全隐患59项，已整改54项。	未
杨柳青镇开展楼门栋长职责培训西青在行动日前，该镇社区办持续对镇域内社区进行楼门栋长职责培训。会上对楼门栋长职责提出要求：宣传法律法规，树立遵纪守法榜样切实负起责任，做好社情民意的上传下达掌握居民的基本信息社区卫生管理邻里纠纷协调等工作。此次培训会标志着634名楼门栋长工作开展走向规范化。	未
杨桐大男孩要参加选秀比赛了，你会pick 吗	未
杨河村蝶变记	未
杨洁篪会见卡塔尔副首相兼外交大臣	未
杨洁篪会见卡塔尔副首相兼外交大臣穆罕默德	未
杨洁篪会见土耳其正义与发展党代表团	未
杨洁篪会见澳大利亚客人	未
　　杨洁篪宣读习近平主席贺信并致辞	未
杨洋剪短发晒自拍 表情冷酷眼神忧郁迷倒众粉丝	未
杨洋：在什么的状态做什么样的事情，我正好是这个年龄，为什么不去演一些大家喜欢看青春片或偶像剧呢。	未
杨洋拍摄花絮曝光 回头大吼“别喊啦”秒变表情包	未
@杨浦人！2019年节假日安排正式公布来了！	未
@杨浦人，用手机付钱的注意了，现在看还不晚，对你很重要！	未
杨浦区定海桥竟成“钓鱼场”	未
杨浦新江湾城半马昨日在沪举行 共4500名选手参与	未
杨浦暴走健身团存在已两年，市民呼吁：别扰民，也需宽容	未
杨浦的这条道路车道设置临时变更至12月3日，别走错啦连线各区经常途经黄兴路的司机朋友们请注意了！@上海杨浦 说，因市政架空线入地项目工程需要，黄兴路（松花江-抚顺）路段将进行道路组织的临时性调整，相关措施12月3日5点结束。具体调整内容详见	未
杨浦老厂房将变身电竞馆	未
杨海龙任承德市双桥区委书记，原书记调纪检监察系统工作	未
杨港路封闭施工后，部分公交线路临时绕行	未
//@杨澜访谈录:老布什去世采访中谈到当初选择中国的理由，老布什表示尽管(当时)我对中国并不了解，但我觉得中国就是未来。出任美国驻华联络处主任期间，他不仅和夫人骑车逛遍北京的大街小巷，还拉上了自己的妈妈和姨妈两位老太太一起骑车逛北京。由此获得了自行车大使的雅号。	未
杨焄︱“大时代的小人物”：朱英诞的诗与文	未
杨照：“通古今之变”也必然是“一家之言”	未
杨猛  世界上最好的在线游戏：追踪杀手，也调查冲突和毒枭	未
杨玲：兴趣是被“剪”出来的 奶奶的粗布围裙让她爱上剪纸	未
杨益华巡查南官河河长制工作	未
杨碧薇  有个地方叫蔡甸	未
杨秀玲：打造京津冀信用品牌 共建联合惩戒示范区	未
杨秉魁任天津市河北区人民政府副区长	未
杨紫某音施展御水术引围观	未
杨紫点赞和邓伦跨年演唱会要合体的微博 然而粉丝说那个时间杨紫没有上线，点不了赞！这是什么操作	未
